State,Government Function,Full-Time Employment,Full-Time Payroll (whole dollars),Part-Time Employment,Part-Time Payroll (whole dollars),Full-Time Equivalent Employment,Total Full-Time and Part-Time Employment,Total Payroll (whole dollars)
FL,Parks and Recreation,"1,197","3,758,565",360,"530,125","1,348","1,557","4,288,690"
FL,Housing and Community Development,0,0,0,0,0,0,0
FL,Natural Resources,"7,572","31,790,231",765,"1,099,667","7,925","8,337","32,889,898"
FL,Water Supply,0,0,0,0,0,0,0
FL,Electric Power,0,0,0,0,0,0,0
FL,Gas Supply,0,0,0,0,0,0,0
FL,Transit,456,"2,571,229",7,"17,289",461,463,"2,588,518"
FL,Education Total,"56,131","415,979,834","45,276","68,598,548","73,027","101,407","484,578,382"
FL,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
FL,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
FL,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
FL,Education - Higher Education Total,"53,701","405,878,047","44,968","68,336,816","70,519","98,669","474,214,863"
FL,Education - Higher Education Instructional,"15,625","199,203,226","16,189","40,485,329","22,792","31,814","239,688,555"
FL,Education - Higher Education Other,"38,076","206,674,821","28,779","27,851,487","47,727","66,855","234,526,308"
FL,Education - Other,"2,430","10,101,787",308,"261,732","2,508","2,738","10,363,519"
FL,Libraries,0,0,0,0,0,0,0
FL,State liquor stores,0,0,0,0,0,0,0
FL,All other and unallocable,"5,111","22,130,438",327,"425,470","5,248","5,438","22,555,908"
GA,Total - All Government Employment Functions,"113,174","615,723,398","37,543","57,578,702","124,640","150,717","673,302,100"
GA,Financial Administration,"2,816","15,357,528",82,"178,942","2,864","2,898","15,536,470"
GA,Other Government Administration,"1,223","5,818,534",112,"253,051","1,278","1,335","6,071,585"
GA,Judicial and Legal,"3,580","22,355,414",93,"225,949","3,617","3,673","22,581,363"
GA,Police Protection Total,"2,858","15,633,507",81,"272,282","2,902","2,939","15,905,789"
GA,Police Protection - Persons with Power of Arrest,"1,386","8,375,590",0,0,"1,386","1,386","8,375,590"
GA,Police Protection - Other,"1,472","7,257,917",81,"272,282","1,516","1,553","7,530,199"
GA,Fire Protection Total,0,0,0,0,0,0,0
GA,Fire Protection - Firefighters,0,0,0,0,0,0,0
GA,Fire Protection - Other,0,0,0,0,0,0,0
GA,Corrections,"10,869","44,265,729",710,"1,525,375","11,142","11,579","45,791,104"
GA,Highways,"3,899","18,996,609",34,"49,326","3,912","3,933","19,045,935"
GA,Air Transportation,0,0,0,0,0,0,0
GA,Sea and Inland Port Facilities,"1,612","14,398,546",0,0,"1,612","1,612","14,398,546"
GA,Public Welfare,"6,201","23,907,456",23,"74,534","6,207","6,224","23,981,990"
GA,Health,"3,719","19,257,118",308,"798,923","3,848","4,027","20,056,041"
GA,Hospitals,"7,125","38,445,397",529,"1,867,494","7,336","7,654","40,312,891"
GA,Social Insurance Administration,889,"3,954,588",27,"89,847",904,916,"4,044,435"
GA,Solid Waste Management,0,0,0,0,0,0,0
GA,Sewerage,0,0,0,0,0,0,0
GA,Parks and Recreation,692,"3,084,121",885,"1,161,945","1,297","1,577","4,246,066"
GA,Housing and Community Development,0,0,0,0,0,0,0
GA,Natural Resources,"4,704","18,877,347",705,"1,588,517","4,998","5,409","20,465,864"
GA,Water Supply,0,0,0,0,0,0,0
GA,Electric Power,0,0,0,0,0,0,0
GA,Gas Supply,0,0,0,0,0,0,0
GA,Transit,0,0,0,0,0,0,0
GA,Education Total,"61,142","361,584,142","33,528","46,929,277","70,668","94,670","408,513,419"
GA,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
GA,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
GA,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
GA,Education - Higher Education Total,"57,087","340,495,208","33,320","46,347,866","66,526","90,407","386,843,074"
GA,Education - Higher Education Instructional,"17,344","130,654,316","12,803","29,866,927","21,405","30,147","160,521,243"
GA,Education - Higher Education Other,"39,743","209,840,892","20,517","16,480,939","45,121","60,260","226,321,831"
GA,Education - Other,"4,055","21,088,934",208,"581,411","4,142","4,263","21,670,345"
GA,Libraries,0,0,0,0,0,0,0
GA,State liquor stores,0,0,0,0,0,0,0
GA,All other and unallocable,"1,845","9,787,362",426,"2,563,240","2,055","2,271","12,350,602"
HI,Total - All Government Employment Functions,"50,481","287,718,229","17,262","25,000,773","55,655","67,743","312,719,002"
HI,Financial Administration,635,"3,518,486",0,0,635,635,"3,518,486"
HI,Other Government Administration,750,"4,084,649",49,"78,107",777,799,"4,162,756"
HI,Judicial and Legal,"2,463","14,629,696",58,"121,524","2,481","2,521","14,751,220"
HI,Police Protection Total,0,0,0,0,0,0,0
HI,Police Protection - Persons with Power of Arrest,0,0,0,0,0,0,0
HI,Police Protection - Other,0,0,0,0,0,0,0
HI,Fire Protection Total,0,0,0,0,0,0,0
HI,Fire Protection - Firefighters,0,0,0,0,0,0,0
HI,Fire Protection - Other,0,0,0,0,0,0,0
HI,Corrections,"2,369","16,558,255",13,"88,257","2,375","2,382","16,646,512"
HI,Highways,738,"4,581,638",3,"5,410",739,741,"4,587,048"
HI,Air Transportation,"1,128","6,339,130",5,"7,324","1,130","1,133","6,346,454"
HI,Sea and Inland Port Facilities,225,"1,262,054",1,772,226,226,"1,262,826"
HI,Public Welfare,"1,154","6,115,990",8,"14,785","1,157","1,162","6,130,775"
HI,Health,"2,166","14,449,934",25,"91,998","2,179","2,191","14,541,932"
HI,Hospitals,"2,520","16,553,972",722,"5,562,574","2,872","3,242","22,116,546"
HI,Social Insurance Administration,264,"1,207,192",4,"13,318",266,268,"1,220,510"
HI,Solid Waste Management,0,0,0,0,0,0,0
HI,Sewerage,0,0,0,0,0,0,0
HI,Parks and Recreation,125,"652,626",476,"39,056",160,601,"691,682"
HI,Housing and Community Development,256,"1,300,610",13,"14,887",256,269,"1,315,497"
HI,Natural Resources,851,"4,818,920",4,"9,072",853,855,"4,827,992"
HI,Water Supply,0,0,0,0,0,0,0
HI,Electric Power,0,0,0,0,0,0,0
HI,Gas Supply,0,0,0,0,0,0,0
HI,Transit,0,0,0,0,0,0,0
HI,Education Total,"32,358","177,698,644","15,711","18,773,641","36,999","48,069","196,472,285"
HI,Education - Elementary and Secondary Total,"22,530","122,181,472","10,597","11,664,498","25,934","33,127","133,845,970"
HI,Education - Elementary and Secondary Instructional,"17,031","99,769,338","9,624","11,155,708","20,167","26,655","110,925,046"
HI,Education - Elementary and Secondary Other,"5,499","22,412,134",973,"508,790","5,767","6,472","22,920,924"
HI,Education - Higher Education Total,"9,521","53,913,845","5,112","7,105,436","10,757","14,633","61,019,281"
HI,Education - Higher Education Instructional,"3,028","25,578,977","1,175","3,395,957","3,317","4,203","28,974,934"
HI,Education - Higher Education Other,"6,493","28,334,868","3,937","3,709,479","7,440","10,430","32,044,347"
HI,Education - Other,307,"1,603,327",2,"3,707",308,309,"1,607,034"
HI,Libraries,405,"1,799,981",152,"136,436",468,557,"1,936,417"
HI,State liquor stores,0,0,0,0,0,0,0
HI,All other and unallocable,"2,074","12,146,452",18,"43,612","2,082","2,092","12,190,064"
ID,Total - All Government Employment Functions,"21,945","133,505,520","9,420","11,850,684","25,017","31,365","145,356,204"
ID,Financial Administration,"1,374","8,518,649",82,"171,094","1,433","1,456","8,689,743"
ID,Other Government Administration,262,"1,562,665",71,"231,114",329,333,"1,793,779"
ID,Judicial and Legal,613,"6,735,611",57,"135,291",633,670,"6,870,902"
ID,Police Protection Total,543,"3,562,702",17,"30,008",550,560,"3,592,710"
ID,Police Protection - Persons with Power of Arrest,300,"2,298,812",1,"5,830",300,301,"2,304,642"
ID,Police Protection - Other,243,"1,263,890",16,"24,178",250,259,"1,288,068"
ID,Fire Protection Total,0,0,0,0,0,0,0
ID,Fire Protection - Firefighters,0,0,0,0,0,0,0
ID,Fire Protection - Other,0,0,0,0,0,0,0
ID,Corrections,"2,292","14,592,954",35,"95,296","2,313","2,327","14,688,250"
ID,Highways,"1,394","7,240,868",42,"99,326","1,436","1,436","7,340,194"
ID,Air Transportation,0,0,0,0,0,0,0
ID,Sea and Inland Port Facilities,0,0,0,0,0,0,0
ID,Public Welfare,"1,796","9,287,545",96,"295,830","1,861","1,892","9,583,375"
ID,Health,"1,749","10,315,434",158,"482,567","1,832","1,907","10,798,001"
ID,Hospitals,579,"2,879,639",80,"199,780",630,659,"3,079,419"
ID,Social Insurance Administration,524,"3,128,924",3,"11,372",526,527,"3,140,296"
ID,Solid Waste Management,0,0,0,0,0,0,0
ID,Sewerage,0,0,0,0,0,0,0
ID,Parks and Recreation,168,"924,160",100,"132,532",216,268,"1,056,692"
ID,Housing and Community Development,0,0,0,0,0,0,0
ID,Natural Resources,"1,869","12,020,017",733,"1,478,151","2,244","2,602","13,498,168"
ID,Water Supply,0,0,0,0,0,0,0
ID,Electric Power,0,0,0,0,0,0,0
ID,Gas Supply,0,0,0,0,0,0,0
ID,Transit,0,0,0,0,0,0,0
ID,Education Total,"7,330","43,223,315","7,647","7,896,694","9,415","14,977","51,120,009"
ID,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
ID,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
ID,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
ID,Education - Higher Education Total,"6,923","40,411,439","7,621","7,833,263","8,993","14,544","48,244,702"
ID,Education - Higher Education Instructional,"2,244","16,759,054","2,132","3,708,769","2,766","4,376","20,467,823"
ID,Education - Higher Education Other,"4,679","23,652,385","5,489","4,124,494","6,227","10,168","27,776,879"
ID,Education - Other,407,"2,811,876",26,"63,431",422,433,"2,875,307"
ID,Libraries,0,0,0,0,0,0,0
ID,State liquor stores,199,"916,824",203,"298,333",299,402,"1,215,157"
ID,All other and unallocable,"1,253","8,596,213",96,"293,296","1,300","1,349","8,889,509"
IL,Total - All Government Employment Functions,"103,986","732,324,758","50,376","118,988,322","124,007","154,362","851,313,080"
IL,Financial Administration,"4,594","25,320,541",229,"278,864","4,731","4,823","25,599,405"
IL,Other Government Administration,"1,730","11,485,428",141,"165,948","1,784","1,871","11,651,376"
IL,Judicial and Legal,"3,115","31,171,521",50,"63,294","3,146","3,165","31,234,815"
IL,Police Protection Total,"3,066","24,126,384","1,076","741,320","3,116","4,142","24,867,704"
IL,Police Protection - Persons with Power of Arrest,"1,871","15,533,855",953,"606,100","1,871","2,824","16,139,955"
IL,Police Protection - Other,"1,195","8,592,529",123,"135,220","1,245","1,318","8,727,749"
IL,Fire Protection Total,0,0,0,0,0,0,0
IL,Fire Protection - Firefighters,0,0,0,0,0,0,0
IL,Fire Protection - Other,0,0,0,0,0,0,0
IL,Corrections,"12,071","90,538,275",57,"65,841","12,081","12,128","90,604,116"
IL,Highways,"5,341","37,872,785","1,319","5,919,064","6,234","6,660","43,791,849"
IL,Air Transportation,31,"210,916",5,"27,660",31,36,"238,576"
IL,Sea and Inland Port Facilities,47,"359,920",1,"4,960",48,48,"364,880"
IL,Public Welfare,"9,882","69,504,669",147,"143,507","9,957","10,029","69,648,176"
IL,Health,"2,130","15,531,735",18,"46,423","2,139","2,148","15,578,158"
IL,Hospitals,"10,737","70,261,529",891,"2,689,005","11,080","11,628","72,950,534"
IL,Social Insurance Administration,"1,418","8,595,251",11,"13,918","1,418","1,429","8,609,169"
IL,Solid Waste Management,0,0,0,0,0,0,0
IL,Sewerage,0,0,0,0,0,0,0
IL,Parks and Recreation,623,"3,726,412",13,"16,535",632,636,"3,742,947"
IL,Housing and Community Development,348,"2,729,426",1,"6,056",348,349,"2,735,482"
IL,Natural Resources,"2,007","11,759,566","1,379","4,547,038","2,850","3,386","16,306,604"
IL,Water Supply,0,0,0,0,0,0,0
IL,Electric Power,19,"148,929",0,0,19,19,"148,929"
IL,Gas Supply,0,0,0,0,0,0,0
IL,Transit,0,0,0,0,0,0,0
IL,Education Total,"39,955","280,955,573","44,918","104,100,417","57,459","84,873","385,055,990"
IL,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
IL,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
IL,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
IL,Education - Higher Education Total,"37,817","266,493,454","44,862","104,053,126","55,289","82,679","370,546,580"
IL,Education - Higher Education Instructional,"13,121","114,116,916","16,861","43,888,824","18,437","29,982","158,005,740"
IL,Education - Higher Education Other,"24,696","152,376,538","28,001","60,164,302","36,852","52,697","212,540,840"
IL,Education - Other,"2,138","14,462,119",56,"47,291","2,170","2,194","14,509,410"
IL,Libraries,0,0,0,0,0,0,0
IL,State liquor stores,20,"138,428",0,0,20,20,"138,428"
IL,All other and unallocable,"6,852","47,887,470",120,"158,472","6,914","6,972","48,045,942"
IN,Total - All Government Employment Functions,"75,530","447,539,783","42,302","43,966,511","89,384","117,832","491,506,294"
IN,Financial Administration,"3,243","17,338,890",114,"206,642","3,296","3,357","17,545,532"
IN,Other Government Administration,763,"4,878,886",160,"341,184",883,923,"5,220,070"
IN,Judicial and Legal,"1,552","14,644,241",48,"110,519","1,570","1,600","14,754,760"
IN,Police Protection Total,"1,686","10,217,735",0,0,"1,686","1,686","10,217,735"
IN,Police Protection - Persons with Power of Arrest,"1,152","7,432,906",0,0,"1,152","1,152","7,432,906"
IN,Police Protection - Other,534,"2,784,829",0,0,534,534,"2,784,829"
IN,Fire Protection Total,0,0,0,0,0,0,0
IN,Fire Protection - Firefighters,0,0,0,0,0,0,0
IN,Fire Protection - Other,0,0,0,0,0,0,0
IN,Corrections,"5,286","25,815,418",238,"393,908","5,463","5,524","26,209,326"
IN,Highways,"3,582","19,120,738",69,"169,271","3,625","3,651","19,290,009"
IN,Air Transportation,0,0,0,0,0,0,0
IN,Sea and Inland Port Facilities,26,"213,816",8,"5,274",26,34,"219,090"
IN,Public Welfare,"6,069","30,329,623",40,"108,208","6,087","6,109","30,437,831"
IN,Health,"1,780","10,110,163",7,"13,992","1,781","1,787","10,124,155"
IN,Hospitals,"1,596","7,798,393",80,"42,120","1,631","1,676","7,840,513"
IN,Social Insurance Administration,"1,368","6,521,631",34,"80,596","1,386","1,402","6,602,227"
IN,Solid Waste Management,0,0,0,0,0,0,0
IN,Sewerage,0,0,0,0,0,0,0
IN,Parks and Recreation,105,"608,421",49,"77,858",129,154,"686,279"
IN,Housing and Community Development,0,0,0,0,0,0,0
IN,Natural Resources,"1,668","8,467,609",426,"484,038","1,857","2,094","8,951,647"
IN,Water Supply,0,0,0,0,0,0,0
IN,Electric Power,0,0,0,0,0,0,0
IN,Gas Supply,0,0,0,0,0,0,0
IN,Transit,0,0,0,0,0,0,0
IN,Education Total,"44,292","277,901,368","40,920","41,757,781","57,424","85,212","319,659,149"
IN,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
IN,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
IN,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
IN,Education - Higher Education Total,"43,301","272,663,677","40,826","41,679,964","56,408","84,127","314,343,641"
IN,Education - Higher Education Instructional,"16,908","135,046,245","12,283","25,467,470","22,380","29,191","160,513,715"
IN,Education - Higher Education Other,"26,393","137,617,432","28,543","16,212,494","34,028","54,936","153,829,926"
IN,Education - Other,991,"5,237,691",94,"77,817","1,016","1,085","5,315,508"
IN,Libraries,69,"356,168",0,0,69,69,"356,168"
IN,State liquor stores,0,0,0,0,0,0,0
IN,All other and unallocable,"2,445","13,216,683",109,"175,120","2,471","2,554","13,391,803"
IA,Total - All Government Employment Functions,"40,613","300,304,901","27,591","26,969,986","49,800","68,204","327,274,887"
IA,Financial Administration,"1,011","5,946,794",55,"102,869","1,046","1,066","6,049,663"
IA,Other Government Administration,368,"1,966,143",180,"337,537",509,548,"2,303,680"
IA,Judicial and Legal,"1,600","8,734,848",29,"67,405","1,619","1,629","8,802,253"
IA,Police Protection Total,884,"6,561,371",3,"5,989",884,887,"6,567,360"
IA,Police Protection - Persons with Power of Arrest,569,"4,534,808",2,"1,970",569,571,"4,536,778"
IA,Police Protection - Other,315,"2,026,563",1,"4,019",315,316,"2,030,582"
IA,Fire Protection Total,0,0,0,0,0,0,0
IA,Fire Protection - Firefighters,0,0,0,0,0,0,0
IA,Fire Protection - Other,0,0,0,0,0,0,0
IA,Corrections,"2,659","14,926,458",62,"126,460","2,700","2,721","15,052,918"
IA,Highways,"2,194","14,167,929",409,"179,430","2,309","2,603","14,347,359"
IA,Air Transportation,0,0,0,0,0,0,0
IA,Sea and Inland Port Facilities,0,0,0,0,0,0,0
IA,Public Welfare,"2,886","15,026,832",155,"143,351","2,983","3,041","15,170,183"
IA,Health,411,"2,575,910",71,"127,983",442,482,"2,703,893"
IA,Hospitals,"7,965","47,107,713","6,117","5,530,459","9,386","14,082","52,638,172"
IA,Social Insurance Administration,622,"3,173,756",0,0,622,622,"3,173,756"
IA,Solid Waste Management,0,0,0,0,0,0,0
IA,Sewerage,0,0,0,0,0,0,0
IA,Parks and Recreation,103,"619,203",24,"19,247",122,127,"638,450"
IA,Housing and Community Development,90,"668,744",1,515,91,91,"669,259"
IA,Natural Resources,"1,354","8,204,993",473,"478,615","1,579","1,827","8,683,608"
IA,Water Supply,0,0,0,0,0,0,0
IA,Electric Power,0,0,0,0,0,0,0
IA,Gas Supply,0,0,0,0,0,0,0
IA,Transit,0,0,0,0,0,0,0
IA,Education Total,"17,065","161,511,224","19,910","19,697,841","24,042","36,975","181,209,065"
IA,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
IA,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
IA,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
IA,Education - Higher Education Total,"16,118","155,779,651","19,818","19,413,023","23,049","35,936","175,192,674"
IA,Education - Higher Education Instructional,"3,310","43,140,968","5,498","11,668,831","5,338","8,808","54,809,799"
IA,Education - Higher Education Other,"12,808","112,638,683","14,320","7,744,192","17,711","27,128","120,382,875"
IA,Education - Other,947,"5,731,573",92,"284,818",993,"1,039","6,016,391"
IA,Libraries,20,"107,793",0,0,20,20,"107,793"
IA,State liquor stores,0,0,0,0,0,0,0
IA,All other and unallocable,"1,381","9,005,190",102,"152,285","1,446","1,483","9,157,475"
KS,Total - All Government Employment Functions,"48,996","277,854,571","18,168","26,289,118","55,031","67,164","304,143,689"
KS,Financial Administration,"1,775","8,762,858",67,"126,153","1,800","1,842","8,889,011"
KS,Other Government Administration,423,"1,990,282",186,"603,075",535,609,"2,593,357"
KS,Judicial and Legal,"2,238","12,977,422",81,"139,248","2,271","2,319","13,116,670"
KS,Police Protection Total,"1,004","6,211,995",55,"97,521","1,032","1,059","6,309,516"
KS,Police Protection - Persons with Power of Arrest,742,"4,188,767",41,"66,592",764,783,"4,255,359"
KS,Police Protection - Other,262,"2,023,228",14,"30,929",268,276,"2,054,157"
KS,Fire Protection Total,0,0,0,0,0,0,0
KS,Fire Protection - Firefighters,0,0,0,0,0,0,0
KS,Fire Protection - Other,0,0,0,0,0,0,0
KS,Corrections,"2,772","14,680,976",24,"37,689","2,784","2,796","14,718,665"
KS,Highways,"2,388","10,577,530",84,"121,631","2,420","2,472","10,699,161"
KS,Air Transportation,0,0,0,0,0,0,0
KS,Sea and Inland Port Facilities,0,0,0,0,0,0,0
KS,Public Welfare,"2,450","8,813,989",52,"97,157","2,474","2,502","8,911,146"
KS,Health,"1,515","6,779,545",26,"65,211","1,527","1,541","6,844,756"
KS,Hospitals,"10,727","61,987,771","3,216","9,975,627","12,339","13,943","71,963,398"
KS,Social Insurance Administration,56,"209,073",1,917,56,57,"209,990"
KS,Solid Waste Management,0,0,0,0,0,0,0
KS,Sewerage,0,0,0,0,0,0,0
KS,Parks and Recreation,554,"2,047,889",7,465,554,561,"2,048,354"
KS,Housing and Community Development,0,0,0,0,0,0,0
KS,Natural Resources,586,"2,923,991",64,"61,187",612,650,"2,985,178"
KS,Water Supply,0,0,0,0,0,0,0
KS,Electric Power,0,0,0,0,0,0,0
KS,Gas Supply,0,0,0,0,0,0,0
KS,Transit,0,0,0,0,0,0,0
KS,Education Total,"20,498","129,191,518","14,129","14,622,910","24,561","34,627","143,814,428"
KS,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
KS,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
KS,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
KS,Education - Higher Education Total,"19,999","126,548,593","14,044","14,538,388","24,036","34,043","141,086,981"
KS,Education - Higher Education Instructional,"7,641","62,229,476","4,316","7,575,189","9,173","11,957","69,804,665"
KS,Education - Higher Education Other,"12,358","64,319,117","9,728","6,963,199","14,863","22,086","71,282,316"
KS,Education - Other,499,"2,642,925",85,"84,522",525,584,"2,727,447"
KS,Libraries,23,"85,365",0,0,23,23,"85,365"
KS,State liquor stores,0,0,0,0,0,0,0
KS,All other and unallocable,"1,987","10,614,367",176,"340,327","2,043","2,163","10,954,694"
KY,Total - All Government Employment Functions,"69,224","391,347,774","20,584","28,156,659","78,109","89,808","419,504,433"
KY,Financial Administration,"1,836","8,582,321",66,"43,827","1,852","1,902","8,626,148"
KY,Other Government Administration,980,"5,684,555",137,"236,269","1,054","1,117","5,920,824"
KY,Judicial and Legal,"5,012","22,434,829",174,"178,709","5,113","5,186","22,613,538"
KY,Police Protection Total,"2,125","10,496,790",11,"42,318","2,130","2,136","10,539,108"
KY,Police Protection - Persons with Power of Arrest,991,"5,670,573",4,"14,221",992,995,"5,684,794"
KY,Police Protection - Other,"1,134","4,826,217",7,"28,097","1,138","1,141","4,854,314"
KY,Fire Protection Total,0,0,0,0,0,0,0
KY,Fire Protection - Firefighters,0,0,0,0,0,0,0
KY,Fire Protection - Other,0,0,0,0,0,0,0
KY,Corrections,"3,636","16,529,078",58,"85,905","3,662","3,694","16,614,983"
KY,Highways,"3,953","16,295,472",17,"21,472","3,961","3,970","16,316,944"
KY,Air Transportation,27,"130,409",0,0,27,27,"130,409"
KY,Sea and Inland Port Facilities,0,0,0,0,0,0,0
KY,Public Welfare,"6,285","27,380,762",18,"37,983","6,293","6,303","27,418,745"
KY,Health,"3,624","19,637,499",99,"305,320","3,652","3,723","19,942,819"
KY,Hospitals,"7,316","51,126,628","1,092","4,209,787","7,807","8,408","55,336,415"
KY,Social Insurance Administration,855,"3,759,372",4,"5,622",857,859,"3,764,994"
KY,Solid Waste Management,0,0,0,0,0,0,0
KY,Sewerage,0,0,0,0,0,0,0
KY,Parks and Recreation,796,"2,396,757",1,"1,822",796,797,"2,398,579"
KY,Housing and Community Development,0,0,0,0,0,0,0
KY,Natural Resources,"1,929","8,642,089",173,"298,173","1,999","2,102","8,940,262"
KY,Water Supply,0,0,0,0,0,0,0
KY,Electric Power,0,0,0,0,0,0,0
KY,Gas Supply,0,0,0,0,0,0,0
KY,Transit,0,0,0,0,0,0,0
KY,Education Total,"28,344","186,650,243","18,525","22,546,037","36,377","46,869","209,196,280"
KY,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
KY,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
KY,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
KY,Education - Higher Education Total,"26,184","175,844,449","18,058","22,093,981","34,116","44,242","197,938,430"
KY,Education - Higher Education Instructional,"9,076","89,374,659","6,497","11,759,850","11,758","15,573","101,134,509"
KY,Education - Higher Education Other,"17,108","86,469,790","11,561","10,334,131","22,358","28,669","96,803,921"
KY,Education - Other,"2,160","10,805,794",467,"452,056","2,261","2,627","11,257,850"
KY,Libraries,57,"194,433",0,0,57,57,"194,433"
KY,State liquor stores,0,0,0,0,0,0,0
KY,All other and unallocable,"2,449","11,406,537",209,"143,415","2,472","2,658","11,549,952"
LA,Total - All Government Employment Functions,"72,332","375,784,965","20,067","21,597,995","79,616","92,399","397,382,960"
LA,Financial Administration,"2,669","15,857,800",227,"397,166","2,786","2,896","16,254,966"
LA,Other Government Administration,"1,698","8,950,619",462,"937,708","1,928","2,160","9,888,327"
LA,Judicial and Legal,"1,813","10,076,078",64,"93,208","1,832","1,877","10,169,286"
LA,Police Protection Total,"1,606","11,702,595",148,"465,031","1,702","1,754","12,167,626"
LA,Police Protection - Persons with Power of Arrest,784,"6,181,940",56,"215,846",819,840,"6,397,786"
LA,Police Protection - Other,822,"5,520,655",92,"249,185",883,914,"5,769,840"
LA,Fire Protection Total,0,0,0,0,0,0,0
LA,Fire Protection - Firefighters,0,0,0,0,0,0,0
LA,Fire Protection - Other,0,0,0,0,0,0,0
LA,Corrections,"5,271","30,406,935",215,"433,128","5,394","5,486","30,840,063"
LA,Highways,"4,080","20,061,809",48,"76,014","4,101","4,128","20,137,823"
LA,Air Transportation,3,"19,811",0,0,3,3,"19,811"
LA,Sea and Inland Port Facilities,220,"1,470,517",18,"44,977",225,238,"1,515,494"
LA,Public Welfare,"5,514","25,763,953",228,"366,805","5,613","5,742","26,130,758"
LA,Health,"3,698","21,777,819",214,"549,487","3,788","3,912","22,327,306"
LA,Hospitals,"9,651","49,814,574","1,030","2,110,054","10,283","10,681","51,924,628"
LA,Social Insurance Administration,831,"3,784,409",74,"155,184",866,905,"3,939,593"
LA,Solid Waste Management,0,0,0,0,0,0,0
LA,Sewerage,0,0,0,0,0,0,0
LA,Parks and Recreation,878,"4,285,247",223,"283,142","1,000","1,101","4,568,389"
LA,Housing and Community Development,0,0,0,0,0,0,0
LA,Natural Resources,"2,613","13,743,857",204,"232,862","2,699","2,817","13,976,719"
LA,Water Supply,0,0,0,0,0,0,0
LA,Electric Power,0,0,0,0,0,0,0
LA,Gas Supply,0,0,0,0,0,0,0
LA,Transit,0,0,0,0,0,0,0
LA,Education Total,"29,426","145,829,008","16,682","15,118,927","34,961","46,108","160,947,935"
LA,Education - Elementary and Secondary Total,9,"72,352",0,0,9,9,"72,352"
LA,Education - Elementary and Secondary Instructional,9,"72,352",0,0,9,9,"72,352"
LA,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
LA,Education - Higher Education Total,"27,175","133,685,966","15,977","14,001,582","32,477","43,152","147,687,548"
LA,Education - Higher Education Instructional,"6,721","63,999,355","4,776","8,229,907","8,599","11,497","72,229,262"
LA,Education - Higher Education Other,"20,454","69,686,611","11,201","5,771,675","23,878","31,655","75,458,286"
LA,Education - Other,"2,242","12,070,690",705,"1,117,345","2,475","2,947","13,188,035"
LA,Libraries,0,0,0,0,0,0,0
LA,State liquor stores,0,0,0,0,0,0,0
LA,All other and unallocable,"2,361","12,239,934",230,"334,302","2,435","2,591","12,574,236"
ME,Total - All Government Employment Functions,"17,112","100,727,216","9,237","10,863,641","20,745","26,349","111,590,857"
ME,Financial Administration,"1,249","7,509,412",281,"404,391","1,464","1,530","7,913,803"
ME,Other Government Administration,504,"3,234,661",316,"350,097",717,820,"3,584,758"
ME,Judicial and Legal,864,"5,758,211",220,"314,775",987,"1,084","6,072,986"
ME,Police Protection Total,322,"2,776,498",27,"41,850",327,349,"2,818,348"
ME,Police Protection - Persons with Power of Arrest,285,"2,530,821",20,"32,396",285,305,"2,563,217"
ME,Police Protection - Other,37,"245,677",7,"9,454",42,44,"255,131"
ME,Fire Protection Total,0,0,0,0,0,0,0
ME,Fire Protection - Firefighters,0,0,0,0,0,0,0
ME,Fire Protection - Other,0,0,0,0,0,0,0
ME,Corrections,954,"5,923,634",245,"297,651","1,114","1,199","6,221,285"
ME,Highways,"1,826","10,884,205",428,"616,737","2,058","2,254","11,500,942"
ME,Air Transportation,0,0,0,0,0,0,0
ME,Sea and Inland Port Facilities,0,0,0,0,0,0,0
ME,Public Welfare,"1,764","9,199,955",524,"749,771","2,062","2,288","9,949,726"
ME,Health,871,"4,897,509",162,"220,513",971,"1,033","5,118,022"
ME,Hospitals,446,"2,619,130",151,"175,226",532,597,"2,794,356"
ME,Social Insurance Administration,222,"1,122,109",67,"102,188",289,289,"1,224,297"
